path,folder,fileType,originalSize,finalSize,saved,savedPct,action,backupType,localBackup,remoteBackup,pageCount,error
"cadastros/cadastro_1781877802745_d4wqrbzihob.jpg","cadastros",image,228648,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1781878801141_61p7m26t3xq.pdf","cadastros",pdf,16972264,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1781879560423_1h99a6jp02q.pdf","cadastros",pdf,17096335,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1781879789461_eef89vie9vw.pdf","cadastros",pdf,17302310,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1781880209209_8l9dbuwrhad.pdf","cadastros",pdf,15565019,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1781892677456_hysm6wlad77.pdf","cadastros",pdf,15411183,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1781895643008_0lnxdwblsnqe.jpg","cadastros",image,684529,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1781895716809_i9uslxupxuh.pdf","cadastros",pdf,17440410,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782130943442_42zyicde3t3.pdf","cadastros",pdf,17067680,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782131230664_8kuhkpqc5a8.pdf","cadastros",pdf,19139202,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782133174966_u76c7a32fi.pdf","cadastros",pdf,16989113,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782134290264_6snaortjcyx.pdf","cadastros",pdf,17506774,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782135150881_pcw27hij5ns.pdf","cadastros",pdf,15985175,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782137732296_cgfsd8nx7s.pdf","cadastros",pdf,15379984,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782139149059_zxhmfr948cd.pdf","cadastros",pdf,18036030,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782140813990_j0ritjbgxgr.pdf","cadastros",pdf,14893582,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782143701708_mciqf151ehp.pdf","cadastros",pdf,14191244,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782149749653_vrlmizjmvzn.pdf","cadastros",pdf,15759460,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782150742576_gnh1gv0hdb9.pdf","cadastros",pdf,15166513,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782150889014_pouwwk0n8zb.pdf","cadastros",pdf,16932674,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782151084141_f2pc6oq6xlb.jpg","cadastros",image,724026,0,0,0.00,"optimized","none","","",,""
"cadastros/cadastro_1782152026571_orrxz5h7rlm.jpg","cadastros",image,807931,0,0,0.00,"optimized","none","","",,""
